volatile acidity,alcohol,quality
1.005,10.0,5.0
0.53,10.0,6.0
0.685,11.2,7.0
0.56,9.4,5.0
0.37,13.0,7.0
0.35,9.5,5.0
0.84,12.3,7.0
0.56,11.5,6.0
0.32,12.6,8.0
0.35,10.6,7.0
0.4,9.3,6.0
0.4,10.5,7.0
0.58,11.5,4.0
0.42,11.3,6.0
0.76,11.5,6.0
0.3,10.8,7.0
0.48,12.2,7.0
0.735,10.1,6.0
0.5,9.4,5.0
0.33,11.2,7.0
0.685,10.9,4.0
0.67,9.4,5.0
0.45,10.2,6.0
0.66,11.5,7.0
0.46,9.5,6.0
0.57,9.3,5.0
0.58,10.0,6.0
0.27,11.8,6.0
0.5,12.3,6.0
0.44,11.1,7.0
0.34,14.0,6.0
0.54,11.0,5.0
0.26,10.9,6.0
0.5,13.0,5.0
0.35,10.5,5.0
0.36,12.5,6.0
0.25,10.6,6.0
0.49,10.5,5.0
0.38,9.4,5.0
0.28,12.4,7.0
0.42,9.0,5.0
0.6,11.4,5.0
0.4,11.7,7.0
0.59,10.7,6.0
0.38,10.9,6.0
0.43,10.5,5.0
0.5,10.0,5.0
0.975,9.4,4.0
1.33,10.9,5.0
0.635,10.8,7.0
0.59,11.5,7.0
0.5,10.9,6.0
0.41,13.3,7.0
0.33,10.3,6.0
0.45,9.7,5.0
0.66,11.5,7.0
0.8,9.9,5.0
0.6,10.8,5.0
0.87,9.8,5.0
0.64,9.8,5.0
0.73,9.3,5.0
0.63,10.4,4.0
0.665,9.3,5.0
0.6,12.9,6.0
0.31,9.7,6.0
0.715,9.4,5.0
0.38,9.7,7.0
0.39,9.4,5.0
0.39,9.8,5.0
0.68,9.3,5.0
0.27,12.8,6.0
0.45,10.5,5.0
0.46,10.0,6.0
0.65,10.4,6.0
0.27,12.5,6.0
0.43,9.4,5.0
0.3,11.7,8.0
0.63,9.0,6.0
0.49,9.8,5.0
0.61,9.5,5.0
0.61,9.8,5.0
0.47,9.8,5.0
0.51,11.8,7.0
0.565,9.5,5.0
1.02,10.1,6.0
0.18,11.8,7.0
0.29,9.5,5.0
0.89,10.2,5.0
0.52,9.5,7.0
0.625,9.1,4.0
0.67,9.6,5.0
0.55,9.7,5.0
0.63,9.0,6.0
0.61,9.3,5.0
0.53,9.4,6.0
0.37,10.4,6.0
0.43,10.4,5.0
0.5,10.5,5.0
0.44,9.2,5.0
0.645,11.1,5.0
0.22,10.3,6.0
0.6,9.5,5.0
0.54,9.3,6.0
0.39,9.4,5.0
0.26,9.4,6.0
0.46,12.2,6.0
0.52,9.4,5.0
